Fecha;Total Dosis 1;Total Dosis 2;1era Dosis Sinovac;2da Dosis Sinovac;1era Dosis Pfizer;2da Dosis Pfizer;1era Dosis Astrazeneca;2da Dosis Astrazeneca;Montevideo Dosis 1;Montevideo Dosis 2;Artigas Dosis 1;Artigas Dosis 2;Canelones Dosis 1;Canelones Dosis 2;Cerro Largo Dosis 1;Cerro Largo Dosis 2;Colonia Dosis 1;Colonia Dosis 2;Durazno Dosis 1;Durazno Dosis 2;Flores Dosis 1;Flores Dosis 2;Florida Dosis 1;Florida Dosis 2;Lavalleja Dosis 1;Lavalleja Dosis 2;Maldonado Dosis 1;Maldonado Dosis 2;Paysandú Dosis 1;Paysandú Dosis 2;Río Negro Dosis 1;Río Negro Dosis 2;Rivera Dosis 1;Rivera Dosis 2;Rocha Dosis 1;Rocha Dosis 2;Salto Dosis 1;Salto Dosis 2;San José Dosis 1;San José Dosis 2;Soriano Dosis 1;Soriano Dosis 2;Tacuarembó Dosis 1;Tacuarembó Dosis 2;Treinta y Tres Dosis 1;Treinta y Tres Dosis 2;Departamento Sin Datos;Rango 12-14 Dosis 1;Rango 12-14 Dosis 2;Rango 15-19 Dosis 1;Rango 15-19 Dosis 2;Rango 20-24 Dosis 1;Rango 20-24 Dosis 2;Rango 25-34 Dosis 1;Rango 25-34 Dosis 2;Rango 35-44 Dosis 1;Rango 35-44 Dosis 2;Rango 45-54 Dosis 1;Rango 45-54 Dosis 2;Rango 55-64 Dosis 1;Rango 55-64 Dosis 2;Rango 65-74 Dosis 1;Rango 65-74 Dosis 2;Rango Mayor 75 Dosis 1;Rango Mayor 75 Dosis 2;Rango Sin Datos
3/4/2021;12298;43;8974;34;3324;9;0;0;6651;19;26;0;897;3;30;0;1473;1;653;2;10;0;27;0;365;0;59;0;41;1;23;0;26;1;18;0;805;10;801;4;226;2;31;0;136;0;0;1;0;361;0;1189;3;2512;11;2630;16;1920;4;1011;2;799;0;1875;7;0
2/4/2021;40391;8679;30772;8654;9619;25;0;0;14006;3517;1100;270;4059;1423;1602;206;1976;278;1021;158;296;70;1283;283;947;210;2115;309;1391;265;839;109;2776;321;905;36;966;423;1249;212;1740;176;1159;280;961;133;0;0;0;1349;37;3917;574;8283;2547;8763;2665;6335;2086;2923;762;3499;4;5322;4;0
1/4/2021;39558;8457;30837;8444;8720;13;1;0;14805;3344;1049;267;3602;1507;1460;222;1908;209;995;137;261;101;1069;220;803;229;1933;262;1407;223;761;103;2703;354;952;155;948;406;1174;264;1692;152;1164;191;872;111;0;1;0;1320;36;3888;656;8341;2373;8871;2713;6379;2029;2616;640;2550;2;5589;8;3
31/3/2021;37539;20310;29060;20295;8479;15;0;0;14091;8480;1236;538;3598;2740;1351;589;1538;650;858;443;249;213;1126;572;822;381;1799;826;679;522;664;300;2657;814;1245;421;934;684;1138;527;1865;460;1109;734;580;416;0;2;0;1080;93;3799;1457;7957;5181;8530;6734;5935;5063;2467;1772;1994;0;5775;10;0
30/3/2021;38130;13916;29402;13898;8728;18;0;0;14804;6048;1132;349;3874;1968;1496;290;1618;363;892;361;246;217;1158;370;832;291;1747;389;659;393;633;244;2651;530;727;281;947;622;1271;381;1595;288;1099;400;749;131;0;7;0;1132;78;3952;966;8147;3605;8672;4536;5828;3489;2533;1231;1833;0;6023;11;3
29/3/2021;37013;17237;28259;17227;8750;10;4;0;15189;6470;1066;474;3773;1748;1529;711;1615;708;873;516;248;262;1084;476;830;350;1643;1026;679;501;615;389;2055;880;666;445;961;624;916;491;1500;522;1027;481;744;163;0;3;0;1024;56;3721;919;7757;4097;8137;5759;5585;4694;2636;1702;1999;3;6150;7;1
28/3/2021;7;0;4;0;3;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;2;0;2;0;0
27/3/2021;13153;0;9870;0;3283;0;0;0;7045;0;383;0;1277;0;7;0;1458;0;797;0;18;0;16;0;321;0;52;0;22;0;10;0;11;0;45;0;827;0;491;0;223;0;22;0;128;0;0;0;0;72;0;282;0;605;0;708;0;2524;0;3566;0;2987;0;2409;0;0
26/3/2021;41134;0;32465;0;8668;0;1;0;16316;0;1163;0;4875;0;1651;0;1911;0;1136;0;320;0;855;0;710;0;2295;0;864;0;669;0;2368;0;652;0;1028;0;989;0;1162;0;1205;0;965;0;0;1;0;377;0;1250;0;2794;0;3124;0;7953;0;10653;0;8773;0;6208;0;1
25/3/2021;43558;0;34429;0;9129;0;0;0;17671;0;1173;0;5226;0;1717;0;1994;0;1164;0;300;0;940;0;747;0;2528;0;824;0;716;0;2367;0;1000;0;1072;0;1078;0;1165;0;1169;0;707;0;0;1;0;379;0;1324;0;2890;0;3125;0;8280;0;11352;0;9563;0;6642;0;2
24/3/2021;35352;0;24883;0;10469;0;0;0;10531;0;1210;0;4239;0;1794;0;845;0;1169;0;310;0;1013;0;956;0;2675;0;874;0;741;0;2324;0;1404;0;1085;0;931;0;1371;0;1029;0;851;0;0;2;0;262;0;987;0;2220;0;2579;0;6323;0;8731;0;7074;0;7172;0;2
23/3/2021;36382;0;19991;0;16391;0;0;0;13265;0;1074;0;4539;0;1940;0;807;0;1019;0;293;0;1273;0;409;0;2915;0;974;0;813;0;1548;0;830;0;1286;0;1058;0;1277;0;334;0;727;0;1;3;0;121;0;664;0;1920;0;1967;0;6003;0;8460;0;7321;0;9920;0;3
22/3/2021;38661;0;20725;0;17935;0;1;0;13958;0;1057;0;3872;0;1703;0;903;0;1354;0;618;0;1502;0;579;0;3003;0;1124;0;634;0;1813;0;1225;0;1451;0;1381;0;1382;0;457;0;645;0;0;2;0;38;0;407;0;1556;0;1724;0;6244;0;9282;0;8206;0;11200;0;2
21/3/2021;19;0;7;0;12;0;0;0;6;0;4;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4;0;5;0;8;0;0
20/3/2021;12482;0;12450;0;29;0;3;0;7207;0;213;0;987;0;13;0;1016;0;634;0;22;0;58;0;176;0;581;0;23;0;13;0;8;0;14;0;855;0;387;0;219;0;18;0;38;0;0;0;0;3;0;12;0;43;0;40;0;3059;0;4879;0;4433;0;13;0;0
19/3/2021;36297;0;36172;0;98;0;27;0;15741;0;485;0;4474;0;1172;0;1494;0;804;0;367;0;1189;0;677;0;2208;0;1191;0;741;0;330;0;378;0;910;0;814;0;1332;0;1134;0;847;0;9;1;0;40;0;373;0;840;0;426;0;8535;0;13779;0;12228;0;74;0;1
18/3/2021;36512;0;36285;0;226;0;1;0;17290;0;542;0;4093;0;1034;0;1134;0;849;0;367;0;1107;0;779;0;1988;0;854;0;708;0;469;0;618;0;778;0;948;0;1131;0;1123;0;700;0;0;0;0;25;0;201;0;492;0;288;0;8755;0;14167;0;12499;0;85;0;0
17/3/2021;7884;0;6428;0;1456;0;0;0;2469;0;1417;0;402;0;349;0;22;0;22;0;4;0;22;0;35;0;74;0;28;0;13;0;2388;0;401;0;52;0;95;0;34;0;32;0;25;0;0;0;0;28;0;361;0;1038;0;538;0;1402;0;2248;0;1724;0;544;0;1
16/3/2021;6658;0;4644;0;2014;0;0;0;2091;0;1001;0;299;0;352;0;10;0;4;0;1;0;5;0;12;0;32;0;8;0;1;0;2362;0;374;0;29;0;28;0;5;0;25;0;19;0;0;0;0;14;0;57;0;272;0;410;0;1425;0;2154;0;1571;0;755;0;0
15/3/2021;11255;0;5020;0;6235;0;0;0;4560;0;1505;0;1425;0;345;0;18;0;12;0;10;0;89;0;16;0;47;0;338;0;7;0;2370;0;285;0;50;0;108;0;14;0;34;0;22;0;0;0;0;14;0;186;0;1583;0;2109;0;2798;0;2859;0;1669;0;37;0;0
14/3/2021;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
13/3/2021;10416;0;91;0;10325;0;0;0;6287;0;227;0;1033;0;177;0;598;0;137;0;7;0;109;0;17;0;380;0;24;0;5;0;64;0;123;0;545;0;440;0;196;0;39;0;8;0;0;0;0;15;0;200;0;2300;0;3302;0;2611;0;1631;0;329;0;28;0;0
12/3/2021;22709;0;806;0;21903;0;0;0;10565;0;353;0;3102;0;353;0;766;0;336;0;215;0;505;0;474;0;1149;0;722;0;338;0;749;0;541;0;503;0;447;0;593;0;711;0;287;0;0;0;0;42;0;454;0;5579;0;7359;0;5653;0;3125;0;459;0;38;0;0
11/3/2021;22409;0;22402;0;6;0;1;0;9227;0;351;0;2743;0;826;0;649;0;576;0;185;0;500;0;450;0;1277;0;514;0;347;0;1360;0;373;0;563;0;630;0;776;0;671;0;391;0;0;0;0;95;0;674;0;2198;0;2646;0;3438;0;13265;0;83;0;9;0;1
10/3/2021;25175;0;25173;0;2;0;0;0;11512;0;519;0;3686;0;512;0;844;0;526;0;215;0;551;0;389;0;1353;0;607;0;325;0;739;0;621;0;754;0;655;0;485;0;595;0;287;0;0;1;0;49;0;503;0;1845;0;1867;0;1655;0;19241;0;10;0;2;0;2
9/3/2021;21829;0;21822;0;7;0;0;0;10606;0;447;0;3351;0;347;0;711;0;281;0;222;0;562;0;377;0;1220;0;525;0;203;0;538;0;308;0;700;0;525;0;324;0;399;0;183;0;0;0;0;53;0;325;0;1149;0;1281;0;1058;0;17958;0;1;0;4;0;0
8/3/2021;28139;0;28137;0;2;0;0;0;12045;0;535;0;3345;0;802;0;1147;0;691;0;232;0;711;0;385;0;2011;0;667;0;449;0;1145;0;559;0;740;0;817;0;738;0;693;0;427;0;0;0;0;9;0;120;0;670;0;890;0;676;0;25764;0;3;0;6;0;1
7/3/2021;2;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
6/3/2021;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
5/3/2021;9190;0;9187;0;3;0;0;0;3726;0;293;0;1520;0;224;0;283;0;163;0;72;0;298;0;217;0;320;0;283;0;116;0;355;0;29;0;452;0;224;0;175;0;301;0;139;0;0;0;0;40;0;640;0;2740;0;2815;0;2176;0;776;0;3;0;0;0;0
4/3/2021;8981;0;8978;0;3;0;0;0;3600;0;291;0;1571;0;242;0;211;0;142;0;101;0;217;0;238;0;276;0;231;0;117;0;386;0;161;0;437;0;275;0;163;0;195;0;127;0;0;1;0;43;0;715;0;2565;0;2871;0;2112;0;672;0;1;0;1;0;0
3/3/2021;21301;0;21296;0;5;0;0;0;8952;0;576;0;2837;0;625;0;667;0;455;0;220;0;589;0;392;0;854;0;549;0;326;0;860;0;439;0;725;0;559;0;481;0;780;0;415;0;0;0;0;97;0;1524;0;5468;0;7065;0;5309;0;1834;0;0;0;3;0;1
2/3/2021;14732;0;14714;0;18;0;0;0;6348;0;415;0;2152;0;318;0;371;0;367;0;220;0;391;0;302;0;413;0;397;0;261;0;551;0;294;0;653;0;400;0;302;0;421;0;156;0;0;0;0;81;0;1058;0;3840;0;4794;0;3683;0;1272;0;2;0;2;0;0
1/3/2021;18023;0;18023;0;0;0;0;0;6741;0;502;0;1843;0;764;0;719;0;533;0;264;0;499;0;357;0;1044;0;526;0;430;0;936;0;462;0;655;0;520;0;554;0;502;0;172;0;0;0;0;58;0;976;0;4337;0;6032;0;4863;0;1757;0;0;0;0;0;0
28/2/2021;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
27/2/2021;372;0;372;0;0;0;0;0;156;0;8;0;64;0;4;0;6;0;5;0;1;0;3;0;2;0;24;0;11;0;0;0;25;0;4;0;24;0;10;0;12;0;12;0;1;0;0;0;0;1;0;30;0;83;0;129;0;102;0;26;0;0;0;1;0;0
