OID;Tipo Organismo;Inciso;UE;Nombre Inciso;Nombre UE;Nombre Organismo;Divisi�n;Departamento;Programa;Proyecto;Anio;Mes;Tipo de Gasto;Objeto de Gasto;Auxiliar;Fuente de Financiamiento;Moneda;Asignaci�n;Ejecuci�n
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;53;0;Recursos propios;Pesos Uruguayos;6144418;3762686
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;57;1;Recursos propios;Pesos Uruguayos;19114411;7902600
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;58;0;Recursos propios;Pesos Uruguayos;4337549;4490957
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;59;1;Recursos propios;Pesos Uruguayos;74675556;89535182
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;59;2;Recursos propios;Pesos Uruguayos;38469226;17800797
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;59;4;Recursos propios;Pesos Uruguayos;1592868;645951
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;64;0;Recursos propios;Pesos Uruguayos;32528884;31408972
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;67;0;Recursos propios;Pesos Uruguayos;243223344;236404392
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;71;0;Recursos propios;Pesos Uruguayos;76953;64405
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;72;0;Recursos propios;Pesos Uruguayos;12610702;12525549
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;73;0;Recursos propios;Pesos Uruguayos;122393;168493
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;74;0;Recursos propios;Pesos Uruguayos;398638;260941
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;81;0;Recursos propios;Pesos Uruguayos;112318721;105890016
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;87;0;Recursos propios;Pesos Uruguayos;69142265;65116049
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;100;0;Recursos propios;Pesos Uruguayos;63907165;52293193
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;200;0;Recursos propios;Pesos Uruguayos;644056297;560395539
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;500;0;Recursos propios;Pesos Uruguayos;355514;1991476
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;610;0;Recursos propios;Pesos Uruguayos;1075949;7608261
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;700;0;Recursos propios;Pesos Uruguayos;2441189;1597995
2168580026;Servicio Descentralizado;67;1;Adm. Nacional de Correos;Adm. Nacional de Correos;Adm. Nacional de Correos;vacio;vacio;1;0;2017;vacio;Operativo;810;0;Recursos propios;Pesos Uruguayos;2151899;6539468
