Municipio;Nombre de la iniciativa;Actividad/es;Dirección;Día(s);Horario;Mes;Año
F;Olla El Renuevo;Olla y Merendero;Pantaleón pérez y Clemente Pligerio;Lunes y Jueves;14:00 a 19:00;junio;2021
F;Merendero Los Chiquititos;Merendero;Pasaje los ceibos solar 023;Martes, jueves y sábados;17:00;junio;2021
F;Un Nuevo Comienzo;Merendero;Antonio Carabia 4702 esq. Domingo Arena;Sábado y domingo;13-16;junio;2021
F;La esperanza;Olla;Paraiba 5553 esq. domingo arena;Lunes, jueves y sábados;19;junio;2021
F;Generando Esperanza;Olla y Merendero;Servidumbre Cancha de los Halcones;Lunes , miércoles y sábados;10 y 19:30 hs;junio;2021
F;La Olla del Tata;Olla y Merendero;Bergamo 3475 esq. Acrópolis;Lunes miércoles, viernes y algunos domingos;17 y 19hs;junio;2021
F;Olla Galpones;Olla y Merendero;Bergamo 3481 esquina Acropoli;Domingo;19hs;junio;2021
G;Club Brandi;Olla;Club Brandi Adolfo Rodríguez 6664 esq. Capitulares;Lunes, jueves y sábado;17hs;junio;2021
G;La Quinta del Barrio;Merendero;Fernando Menck 5880;Viernes;17hs;junio;2021
G;Vecinos unidos;Olla y Merendero;Barrio 1 de Mayo. Calle entre Toledo y San Bautista;Lunes a Viernes;8 y 19hs;junio;2021
G;Telba Juárez / Vecinos de La Tablada;Olla;"Lecocq 934 esq Millán
";Lunes, Miércoles y Viernes;13 hs;junio;2021
G;Olla popular Yambo Kenia;Olla;Centro Cultural Yambo Kenia, Batlle y Ordóñez esquina Araure.;miércoles, J y V;13 hs.;junio;2021
G;Tablado;Olla;Av de las instrucciones 1435 Esq Silva, Teatro del Barrio;Lunes a Jueves;19:00 se entrega;junio;2021
G;Proyecto Tío Julio (moni);Olla y Merendero;Pasaje 121 nro. 1178 continuación Behring;Lunes a Domingo;17:30hs y 19hs;junio;2021
G;Chochi;Olla;Caminito Pedro Fuentes 1507 y Caminito pasaje B;Viernes, sábado y domingo;19hs;junio;2021
G;Pedro (lorena);Olla;silva y Pasaje D;Todos los días;19hs;junio;2021
G;La Abuelita (Lourdes);Merendero;Jose Maria Silva Nª 29 Pasaje D costanera;Lunes a domingo;19hs;junio;2021
G;Club Yegros / Jóvenes G;Olla;Durán esq. Iris (Club Yegros);Domingos;17hs;junio;2021
G;Todos podemos - Pueblo Victoria;Olla y Merendero;Cayetano Rivas 3842 bis apto 15 esq. Del Cid;Lunes a Sábado Olla,;16 y 19hs;junio;2021
G;Olla Abayubá – Grupo de Motoqueros;Olla;Venus esquina Rigel;LaD;13 hs;junio;2021
G;Olla La Santa;Olla;Av Las Instrucciones pasaje A solar 60 esq. Antillas;Lunes miércoles y sábados;20:00 a 23:00;junio;2021
G;Olla Unidad Misiones;Olla y Merendero;Aparicio Saravia Pasaje 307;LaV Olla, Sy D Merendero;Merendero 17hs / Olla 19hs;junio;2021
G;La olla de Villa Colón;Olla;Av. Lezica 6375;Viernes;18.30hs;junio;2021
G;Creciendo de la mano contigo;Olla y Merendero;Cno Melilla 8420 complejo verdisol calle 3 al fondo, salon 21;Lunes, miércoles y viernes;17hs;junio;2021
G;Nico;Olla y Merendero;edison equina tillaux 4138;Martes y Jueves. Sábado;19hs;junio;2021
G;Las Cañas;Merendero;Camino del apero 2060 esq. Pororo;Lunes a Viernes;16hs;junio;2021
G;Iniciativa Vecinal: Club Cohami;Merendero;Club cohami - Millan y Lecocq;lunes a viernes;S/D;junio;2021
G;Olla Parroquial Paso de las Duranas;Olla;Millan 4170 esq.Casaravilla;Costanera número 27 esq. Leal Ibarra;18:30 a 21:30;junio;2021
G;Vecinos Barrio de Colón;Olla y Merendero;Rambla Costanera 1619 pasaje A esq. Albeniz;Lunes a sábado;10 a 13- 17 a 18;junio;2021
G;Impacto Nación;Olla y Merendero;Av. Islas Canarias 5623;Lunes a viernes;15 a 18 y 19-21;junio;2021
G;Olla y merendero Arevalo;Olla y Merendero;Cno. del Pretal 5924 esq.Bombensadre;lunes miércoles jueves;18:00;junio;2021
G;La Renga;Merendero;Camino La Renga 2308;Sábado y Domingo;17hs;junio;2021
G;La Luz Ibarburu;Olla y Merendero;Antonio Rubio 6013 esq. Cornelio Guerra;Viernes, Sábado y Domingo;17 y 19hs;junio;2021
G;Merendero San Josè;Merendero;islas canarias;sábados;16-18;junio;2021
G;Club Beco;Olla y Merendero;Albéniz y Nueva Era;Lunes a Sábado;18 y 20hs;junio;2021
G;Club sayago;Merendero;Parque de los Fogones - Av. Millán y Martín Ximeno;sábados y Domingos;17;junio;2021
G;La polaqueña;Olla;Avenida Garzón 232 esq. Emancipación/ Basagoiti esq. Molina;sábados;20;junio;2021
G;Expreso;Olla;Molinos de Raffo 539;Lunes, miércoles y domingo;13 hs;junio;2021
G;Jornada solidaria a cargo del Movimiento Barrial Solidario;Olla;Shakespeare 1639 esq. Camoens;Lunes, Miércoles y Viernes;19:30 hs;junio;2021
G;Olla y Merendero Gori;Olla y Merendero;Ruiseñor 9184 esq. el Churrinche;Martes y jueves;17hs;junio;2021
G;Juntos Podemos - Conciliación;Olla y Merendero;Máximo santos 5607;Lunes, Miércoles y Viernes;17 y 20 hs;junio;2021
G;Brigada Mic;Olla y Merendero;Molino de Raffo 776 esq. Millán;L, Mi y V y S;20;junio;2021
G;Maria Emilia Islas;Olla y Merendero;Cornelio Guerra 1708 esq. Domingo Basso;Lunes Miércoles y Viernes;13;junio;2021
F;Olla 23 de Diciembre;Olla y Merendero;Barrio 23 de diciembre Carlos Linea Solar 45;martes jueves y Sábado y domingo;S/D;junio;2021
F;Olla Geminis;Olla y Merendero;Geminis 1385;L a S;S/D;junio;2021
G;La Carbonera;Olla;Calle B 6044 bis entre senda 4 y 5;Lunes Miércoles y Viernes;S/D;junio;2021
