Municipio;Nombre de la iniciativa;Actividad/es;Dirección;Día(s);Horario;Mes;Año
D;Unidos somos más;Olla y Merendero;Estanislao Vega 3538 esquina Juan Acosta;Lunes, Miércoles, Viernes y Sábado;17hs;junio;2021
D;Merendero “La Hora Feliz”-;Olla y Merendero;Serratosa 3956/apto 2;Lunes a Sábado;12:30 y 17:30 hs;junio;2021
D;Olla y merendero Manga (Ayui);Olla y Merendero;Luis E. Azarola Gil 4780;Lunes a domingo;12 y 17 hs;junio;2021
D;Olla y Merenderos Todos Unidos;Olla y Merendero;Leandro Gomez 5324;Lunes a Viernes;17hs;junio;2021
D;Merendero Cielos Abiertos;Merendero;Guarapirú 4012;Lunes y Jueves;17hs;junio;2021
D;Comité de Base;Olla;Tte Galeano 4201 esq primero de marzo;Viernes;16 a 18hs;junio;2021
D;Merendero y olla MB Mausa;Olla y Merendero;Matilde Pacheco 4121;Lunes a Sábado;10 a 11.30 y 16 a 18hs;junio;2021
D;El rinconcito de los niños 23 de diciembre;Olla y Merendero;Los Teros solar 121(asentamiento 23 de diciembre );LaS;Al mediodía y en la tarde;junio;2021
D;Olla Los Milagros;Olla;Calle 3 5675 esquina Román Arana;Lunes a Viernes;18hs;junio;2021
D;Olla Popular Mano Amiga;Olla y Merendero;Paso de la Española 5003;Lunes a viernes;18:30 a 20:00;junio;2021
D;Merendero Un Nuevo emprendimiento por los niños;Merendero;Pasaje 318 entre Aparicio Saravia y Gustavo Volpe 4873 ( los palomares);L a D;19:00;junio;2021
D;Villa Camila Juntos Podemos;Olla;José Belloni solar 6 entre Regulo y Perlas;Martes, jueves;17-18hs;junio;2021
D;Juntos Podemos ser Solidarios;Olla y Merendero;Calle las Piedras solar 8 esq.Santa Rosa;lunes a viernes;17:00 a 19:00;junio;2021
D;San Martín 1 Padre Cacho;Merendero;Continuación Ernesto Quintela y San Martín, Salón Comunal, Viviendas Padre Cacho;Miércoles y sábado;18:30 a 19:00;junio;2021
D;Brazo Solidario Villa Camila;Olla;José Belloni solar 6 entre Regulo y Perlas;Domingos;9:30 a 15:00hs;junio;2021
D;Comedor el amor de Cristo;Olla y Merendero;Asentamiento 2 de febrero Aparicio Saravia 3678 bis (frente a plaza marconi nueva casa de alto de ladrillo);Lunes, miércoles y sábados;17;junio;2021
D;"Olla popular ""Las viviendas""";Olla;Viviendas CH 33 esq. chimborazo;Viernes;20;junio;2021
D;Olla Las Palmitas;Olla y Merendero;Las Palmitas 4922 esq. Hector Castro;Lunes miércoles y Viernes;18 A 20;junio;2021
D;Villa Camila Torre Fuerte;Merendero;Florida 91;Sábados;16:30 hs;junio;2021
D;Entre Vecinos;Olla y Merendero;Espadaña 5951 entre Benito Berger y La vía;Domingo, martes, miércoles, jueves,viernes;17 y 19hs;junio;2021
D;Acción solidaria (2);Olla y Merendero;Sarabia entre enrique castro y Jacinto trapani s/n;Martes y viernes;16 y 19hs;junio;2021
